score	published	tickers
-0.4838709677419355	2022-07-07	GAZP
0.19999999999999996	2022-07-08	GAZP
0.5135135135135136	2022-04-03	GAZP
0.8918918918918919	2022-07-28	MGNT
0.032258064516129004	2022-04-30	GAZP
-0.3333333333333333	2022-06-30	GAZP
0.5	2022-06-09	RTKM
0.4285714285714286	2022-04-27	LKOH
-0.5714285714285714	2022-04-30	1810
-0.0714285714285714	2022-04-04	GAZP
0.13043478260869562	2022-05-23	PHOR
0.40540540540540543	2022-05-23	PHOR
-0.7777777777777777	2022-04-28	ADS@DE
0.5862068965517242	2022-03-31	VKCO
-0.5757575757575757	2022-06-14	PIKK
-0.5483870967741935	2022-04-27	TWTR
-0.2571428571428571	2022-06-22	AAPL
-0.75	2022-06-24	UBER
0.6000000000000001	2022-04-20	AFLT
-0.6000000000000001	2022-03-30	GAZP
-0.3125	2022-07-20	GAZP
-0.28571428571428575	2022-07-27	GAZP
-0.6000000000000001	2022-07-15	DVEC
-0.393939393939394	2022-05-12	TWTR
0.8	2022-06-09	GAZP
-0.7619047619047619	2022-06-07	VKCO
-0.2682926829268293	2022-07-12	NVTK
-0.5294117647058822	2022-07-12	NVTK
0.3333333333333333	2022-03-30	NVTK
-0.9199999999999999	2022-04-18	GAZP
-0.7333333333333334	2022-03-31	AFLT
-1.0	2022-07-05	GAZP
-0.3548387096774193	2022-04-28	TWTR
-1.0	2022-04-21	NVTK
0.29411764705882354	2022-04-29	ENRU
0.27777777777777773	2022-07-04	GAZP
0.5263157894736843	2022-07-29	GAZP
0.23529411764705888	2022-04-08	AFLT
-0.6190476190476191	2022-07-02	JPM
0.4545454545454546	2022-07-30	GAZP
-0.6428571428571428	2022-05-19	AFLT
0.4285714285714286	2022-04-22	GAZP
-0.8181818181818181	2022-04-06	CBOM
-0.028571428571428525	2022-05-11	GAZP
0.4358974358974359	2022-05-11	GAZP
0.050000000000000044	2022-04-11	TWTR
0.6666666666666667	2022-04-05	MA
0.1063829787234043	2022-06-28	CBOM
0.5384615384615385	2022-07-29	COF
-0.6428571428571428	2022-05-20	ARNC
0.11764705882352944	2022-06-28	WHR
-0.6799999999999999	2022-04-07	ALRS
0.1538461538461538	2022-04-21	LKOH
0.3333333333333333	2022-04-22	LKOH
-0.7272727272727273	2022-05-05	NFLX
-0.375	2022-05-31	LKOH
0.3170731707317073	2022-07-08	QIWI
-0.935483870967742	2022-07-12	TWTR
-0.037037037037037035	2022-07-16	TWTR
-0.8378378378378379	2022-06-15	AFLT
-0.5897435897435896	2022-05-18	AFLT
-0.6744186046511629	2022-05-12	GAZP
0.23076923076923078	2022-07-06	GAZP
-0.2727272727272727	2022-04-29	GAZP
-0.8571428571428572	2022-04-14	GAZP
-0.7894736842105263	2022-03-29	MGNT
-0.6000000000000001	2022-03-29	MGNT
0.3636363636363636	2022-07-21	VKCO
-0.3548387096774193	2022-05-06	FLOT
-0.13043478260869562	2022-05-06	FLOT
-0.7058823529411764	2022-04-05	NLMK
-0.25	2022-04-29	CHMF
-0.6129032258064515	2022-06-15	GAZP
0.3181818181818182	2022-04-14	RTKM
0.8048780487804879	2022-04-27	RTKM
-0.5172413793103448	2022-07-27	RTKM
-0.4285714285714286	2022-06-08	RTKM
-0.43999999999999995	2022-06-08	RTKM
0.75	2022-07-04	RTKM
0.21212121212121215	2022-07-15	FEES
0.8	2022-06-29	ROSN
-0.4666666666666666	2022-06-04	ROSN
0.4545454545454546	2022-04-29	VKCO
-0.8461538461538463	2022-06-22	GAZP
-0.6774193548387097	2022-05-20	GAZP
0.5	2022-04-11	MGNT
0.7446808510638299	2022-04-26	MGNT
-0.696969696969697	2022-06-09	KROT
0.08333333333333331	2022-07-29	KHC
-0.1333333333333333	2022-06-15	RTKM
-0.9310344827586208	2022-06-07	DVEC
0.3636363636363636	2022-04-07	LKOH
-0.24137931034482762	2022-06-16	BKR
0.5652173913043479	2022-06-01	GAZP
0.28571428571428575	2022-07-24	GAZP
-0.588235294117647	2022-07-29	KHC
-0.5	2022-05-24	AAPL
0.2173913043478261	2022-04-26	MTSS
-0.1891891891891892	2022-04-29	NFLX
0.5555555555555556	2022-07-29	GAZP
0.31034482758620685	2022-04-28	TCSG
0.6756756756756757	2022-05-18	PEP
-0.8	2022-04-30	NVTK
0.8888888888888888	2022-07-21	GAZP
-0.3333333333333333	2022-07-29	GAZP
0.7619047619047619	2022-07-21	GAZP
0.12000000000000005	2022-07-27	GAZP
-0.2592592592592593	2022-07-20	GAZP
-0.11111111111111116	2022-04-15	GAZP
-0.40740740740740744	2022-07-01	GAZP
0.7446808510638299	2022-05-01	GAZP
0.9130434782608696	2022-05-30	GAZP
-0.5172413793103448	2022-05-30	GAZP
-0.5789473684210527	2022-05-31	GAZP
0.28571428571428575	2022-07-11	GAZP
0.10344827586206895	2022-06-18	GAZP
-0.4545454545454546	2022-05-21	GAZP
-0.6190476190476191	2022-04-27	GAZP
-0.6000000000000001	2022-04-01	GAZP
-0.3913043478260869	2022-07-30	GAZP
-0.6774193548387097	2022-07-30	GAZP
-0.4166666666666667	2022-07-22	GAZP
-0.39999999999999997	2022-07-04	GAZP
0.21052631578947367	2022-07-16	GAZP
0.3333333333333333	2022-07-16	GAZP
0.28	2022-07-16	GAZP
0.20930232558139533	2022-05-20	GAZP
0.22222222222222227	2022-07-30	GAZP
-0.37931034482758624	2022-05-21	GAZP
-0.3333333333333333	2022-06-01	GAZP
-0.4444444444444444	2022-04-05	GAZP
-0.31034482758620685	2022-04-05	GAZP
-0.5813953488372092	2022-07-13	GAZP
0.39534883720930236	2022-06-21	GAZP
0.3658536585365854	2022-07-30	GAZP
-0.47826086956521735	2022-07-25	GAZP
-0.6000000000000001	2022-06-15	GAZP
-0.2888888888888889	2022-06-14	GAZP
-0.5555555555555556	2022-06-14	GAZP
-0.24137931034482762	2022-07-27	GAZP
-0.7575757575757576	2022-07-18	GAZP
0.35000000000000003	2022-05-10	GAZP
0.14285714285714285	2022-04-26	GAZP
-0.37931034482758624	2022-04-26	GAZP
0.7837837837837838	2022-04-28	GAZP
-0.1875	2022-07-25	GAZP
0.6818181818181819	2022-05-05	GAZP
0.5609756097560976	2022-05-03	GAZP
0.6585365853658536	2022-06-27	GAZP
0.44999999999999996	2022-06-15	GAZP
0.6470588235294117	2022-06-08	AFLT
-0.5	2022-06-28	IBM
-0.24137931034482762	2022-04-25	AFLT
0.75	2022-04-04	AFLT
0.8139534883720929	2022-04-29	AFLT
0.7575757575757576	2022-07-13	AFLT
-0.8974358974358974	2022-05-13	AFLT
-0.4615384615384615	2022-05-18	AFLT
-0.5454545454545454	2022-06-03	AFLT
-0.8518518518518519	2022-06-03	AFLT
-0.36170212765957444	2022-06-02	AFLT
0.5675675675675675	2022-04-12	AFLT
0.5135135135135136	2022-06-29	AFLT
0.9285714285714286	2022-07-27	AFLT
0.6296296296296295	2022-07-22	AFLT
0.7058823529411764	2022-05-12	AFLT
0.4666666666666666	2022-06-10	AFLT
0.8181818181818181	2022-05-13	AFLT
0.8787878787878789	2022-04-25	AFLT
0.7777777777777777	2022-05-04	AFLT
0.9183673469387754	2022-07-06	AFLT
-0.2432432432432432	2022-04-03	GAZP
-0.7241379310344827	2022-07-26	GAZP
0.3125	2022-05-04	TWTR
-0.37931034482758624	2022-05-23	AAPL
0.4545454545454546	2022-04-19	TWTR
0.2571428571428571	2022-04-24	TWTR
-0.5135135135135136	2022-05-13	FLOT
-0.588235294117647	2022-05-06	1810
